2020-04-05 10:47:45,509 +0530 [main] INFO  (Log.java:25) - ****************************************************************************************
2020-04-05 10:47:45,512 +0530 [main] INFO  (Log.java:27) - $$$$$$$$$$$$$$$$$$$$$         runtest       		 $$$$$$$$$$$$$$$$$$$$$$$$$
2020-04-05 10:47:45,513 +0530 [main] INFO  (Log.java:29) - ****************************************************************************************
2020-04-05 10:47:53,296 +0530 [main] INFO  (NewsMailer.java:70) - HeadingName=Qatar’s PPI shrinks 10.6% y-o-y in Feb on earnings fall in hydrocarbons Date=March 30 2020 1
2020-04-05 10:48:00,862 +0530 [main] INFO  (NewsMailer.java:87) - NewWindowHeadingName=Qatar’s PPI shrinks 10.6% y-o-y in Feb on earnings fall in hydrocarbons NewWindowDate=March 30 2020
2020-04-05 10:48:01,701 +0530 [main] INFO  (NewsMailer.java:70) - HeadingName=Doha's inflation-adjusted growth seen better than world, Mena average: IIF Date=March 30 2020 2
2020-04-05 10:48:08,213 +0530 [main] INFO  (NewsMailer.java:87) - NewWindowHeadingName=Doha's inflation-adjusted growth seen better than world, Mena average: IIF NewWindowDate=March 30 2020
2020-04-05 10:48:09,023 +0530 [main] INFO  (NewsMailer.java:70) - HeadingName=Qatar’s 'very strong' external and fiscal positions support ratings affirmation: S&P Date=March 28 2020 3
2020-04-05 10:48:15,259 +0530 [main] INFO  (NewsMailer.java:87) - NewWindowHeadingName=Qatar’s 'very strong' external and fiscal positions support ratings affirmation: S&P NewWindowDate=March 28 2020
2020-04-05 10:48:15,962 +0530 [main] INFO  (NewsMailer.java:70) - HeadingName=Investment in health infrastructure pays off - Qatar's rankings soar Date=March 27 2020 4
2020-04-05 10:48:21,856 +0530 [main] INFO  (NewsMailer.java:87) - NewWindowHeadingName=Investment in health infrastructure pays off - Qatar's rankings soar NewWindowDate=March 27 2020
2020-04-05 10:48:22,519 +0530 [main] INFO  (NewsMailer.java:70) - HeadingName=‘Economy can weather impact of recession’ Date=March 26 2020 5
2020-04-05 10:48:28,687 +0530 [main] INFO  (NewsMailer.java:87) - NewWindowHeadingName=‘Economy can weather impact of recession’ NewWindowDate=March 26 2020
